battle_group_id,screenshot_count,start_time,end_time,screenshot_indices,filenames,context_guess,transcription_status,notes
rot_empirical_20260703_016,3,2026-07-02 17:26:37,2026-07-02 17:26:50,15|16|17,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 17_26_37.png|Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 17_26_47.png|Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 17_26_50.png,battle_result_scoreboard,pending,
rot_empirical_20260703_017,1,2026-07-02 17:38:00,2026-07-02 17:38:00,18,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 17_38_00.png,battle_result_scoreboard,pending,
rot_empirical_20260703_018,2,2026-07-02 17:54:15,2026-07-02 17:54:20,19|20,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 17_54_15.png|Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 17_54_20.png,battle_result_scoreboard,pending,
rot_empirical_20260703_019,1,2026-07-02 21:51:50,2026-07-02 21:51:50,21,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 21_51_50.png,battle_result_scoreboard,pending,
rot_empirical_20260703_020,1,2026-07-02 22:02:44,2026-07-02 22:02:44,22,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 22_02_44.png,battle_result_scoreboard,pending,
rot_empirical_20260703_021,1,2026-07-02 23:40:23,2026-07-02 23:40:23,23,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 23_40_23.png,battle_result_scoreboard,pending,
rot_empirical_20260703_022,2,2026-07-03 00:22:57,2026-07-03 00:23:05,24|25,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 00_22_57.png|Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 00_23_05.png,battle_result_scoreboard,pending,
rot_empirical_20260703_023,1,2026-07-03 00:37:09,2026-07-03 00:37:09,26,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 00_37_09.png,battle_result_scoreboard,pending,
rot_empirical_20260703_024,1,2026-07-03 13:28:44,2026-07-03 13:28:44,1,Armoury Crate SE 03_07_2026 13_28_44.png,battle_result_scoreboard,pending,
rot_empirical_20260703_025,1,2026-07-03 21:49:02,2026-07-03 21:49:02,35,Mount and Blade II Bannerlord - Singleplayer PID_ 34464 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 21_49_02.png,battle_result_scoreboard,pending,
rot_empirical_20260703_026,1,2026-07-04 00:53:08,2026-07-04 00:53:08,36,Mount and Blade II Bannerlord - Singleplayer PID_ 34464 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 04_07_2026 00_53_08.png,battle_result_scoreboard,pending,
