screenshot_index,filename,captured_at,screenshot_type,is_battle_result,needs_troop_row_transcription,notes
23,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_07_2026 23_40_23.png,2026-07-02 23:40:23,battle_result_scoreboard,True,True,
24,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 00_22_57.png,2026-07-03 00:22:57,battle_result_scoreboard,True,True,
25,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 00_23_05.png,2026-07-03 00:23:05,battle_result_scoreboard,True,True,
26,Mount and Blade II Bannerlord - Singleplayer PID_ 15648 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 00_37_09.png,2026-07-03 00:37:09,battle_result_scoreboard,True,True,
27,Mount and Blade II Bannerlord - Singleplayer PID_ 1924 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 07_06_2026 00_53_39.png,2026-06-07 00:53:39,battle_result_scoreboard,True,True,
28,Mount and Blade II Bannerlord - Singleplayer PID_ 1924 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 07_06_2026 01_10_03.png,2026-06-07 01:10:03,battle_result_scoreboard,True,True,
29,Mount and Blade II Bannerlord - Singleplayer PID_ 19996 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_06_2026 23_28_01.png,2026-06-05 23:28:01,campaign_map,False,False,
30,Mount and Blade II Bannerlord - Singleplayer PID_ 19996 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_06_2026 23_32_04.png,2026-06-05 23:32:04,character_review,False,False,
31,Mount and Blade II Bannerlord - Singleplayer PID_ 20204 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 01_53_16.png,2026-07-01 01:53:16,battle_result_scoreboard,True,True,
32,Mount and Blade II Bannerlord - Singleplayer PID_ 20204 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 01_07_2026 01_53_18.png,2026-07-01 01:53:18,battle_result_scoreboard,True,True,
33,Mount and Blade II Bannerlord - Singleplayer PID_ 29760 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_06_2026 18_46_17.png,2026-06-15 18:46:17,troop_upgrade_screen,False,False,
34,Mount and Blade II Bannerlord - Singleplayer PID_ 31172 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_06_2026 01_33_07.png,2026-06-06 01:33:07,character_review,False,False,
35,Mount and Blade II Bannerlord - Singleplayer PID_ 34464 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_07_2026 21_49_02.png,2026-07-03 21:49:02,battle_result_scoreboard,True,True,
36,Mount and Blade II Bannerlord - Singleplayer PID_ 34464 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 04_07_2026 00_53_08.png,2026-07-04 00:53:08,battle_result_scoreboard,True,True,
37,Mount and Blade II Bannerlord - Singleplayer PID_ 4052 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_06_2026 21_39_00 (1).png,2026-06-29 21:39:00,party_recruit_troop_view,False,False,
38,Mount and Blade II Bannerlord - Singleplayer PID_ 4052 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_06_2026 21_39_00.png,2026-06-29 21:39:00,party_recruit_troop_view,False,False,
39,Mount and Blade II Bannerlord - Singleplayer PID_ 4052 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_06_2026 21_39_01.png,2026-06-29 21:39:01,party_recruit_troop_view,False,False,
40,Mount and Blade II Bannerlord - Singleplayer PID_ 4052 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_06_2026 21_39_02 (1).png,2026-06-29 21:39:02,party_recruit_troop_view,False,False,
41,Mount and Blade II Bannerlord - Singleplayer PID_ 4052 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_06_2026 21_39_02.png,2026-06-29 21:39:02,party_recruit_troop_view,False,False,
42,Mount and Blade II Bannerlord - Singleplayer PID_ 5864 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 28_06_2026 01_45_26 (1).png,2026-06-28 01:45:26,party_trade_troop_view,False,False,
43,Mount and Blade II Bannerlord - Singleplayer PID_ 5864 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 28_06_2026 01_45_26.png,2026-06-28 01:45:26,party_trade_troop_view,False,False,
44,Mount and Blade II Bannerlord - Singleplayer PID_ 6220 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_06_2026 15_34_56.png,2026-06-30 15:34:56,in_battle_gameplay_no_scoreboard,False,False,
45,___ 01_07_2026 10_42_54.png,2026-07-01 10:42:54,battle_result_scoreboard,True,True,
