screenshot_id,image_file,image_sha256,captured_at,battle_id,screen_status,included_in_primary,game_version,game_track
screen_00_27_44,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_27_44.png,26089da19f684989ec9259ad790d47724018785922ae99fc1df275f1faa1b470,2026-08-15T00:27:44-03:00,battle_20260815_002744_captain_field,final_result,True,1.4.x,realm_of_thrones
screen_00_39_23,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_39_23.png,b0d69892b502f39c35af82822c96fe4828e7744d2b8a7adb52ad0a915b087ca4,2026-08-15T00:39:23-03:00,battle_20260815_003923_captain_field,final_result,True,1.4.x,realm_of_thrones
screen_10_12_55,Armoury Crate SE 15_08_2026 10_12_55.png,329c2451ddf245bb7287d1ba1af499eaedbd8a88f606429fbc38ebe22231bbde,2026-08-15T10:12:55-03:00,battle_20260815_101255_captain_field,final_result,True,1.4.x,realm_of_thrones
screen_14_28_29,Mount and Blade II Bannerlord - Singleplayer PID_ 840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 14_28_29.png,055573e8de7040f2ce70616ba1d29761d09f1b5dae357dab47b799e31d8b4373,2026-08-15T14:28:29-03:00,battle_20260815_142829_captain_siege_defense,final_result,True,1.4.x,realm_of_thrones
screen_23_02_07,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 23_02_07.png,0391006e94d27a887fcc9dfbdc45246546a4b842c1ae6728d8420158fc09cbb0,2026-08-15T23:02:07-03:00,battle_20260815_230207_captain_siege_defense,final_result,True,1.4.x,realm_of_thrones
screen_00_48_56,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 00_48_56.png,2d59c673979b7fcd020716a0eff17368a47bf43638a3a94535e09cd6f4e1cdd6,2026-08-16T00:48:56-03:00,battle_20260816_004856_captain_siege_attack,final_result,True,1.4.x,realm_of_thrones
screen_01_02_12,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 01_02_12.png,ff3b5d614a65b197b2f6d235a63b839626fcd729a5e922679a29199b3d1470f7,2026-08-16T01:02:12-03:00,battle_20260816_010212_captain_siege_attack,final_result,True,1.4.x,realm_of_thrones
screen_18_04_48,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_04_48.png,e38a3014d5f150439d9739e91fe47a22186df9906e70054606103ae558920f7a,2026-08-16T18:04:48-03:00,battle_20260816_180448_captain_siege_attack,final_result,True,1.4.x,realm_of_thrones
screen_18_20_33,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_20_33.png,bcf6c8249e75be6d0c9f6d98b3a40fd0e941392b972780511ff05185747aafaf,2026-08-16T18:20:33-03:00,battle_20260816_182033_captain_siege_attack,final_result,True,1.4.x,realm_of_thrones
