track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,retreated_to_keep_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,2,4,Westerling Hedgeknight,westerling_hedgeknight,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,5,73,33,233,6,34,0,3.191781,2.215190,5.140625,4057,5,True,0.057432,0.183309,1714,5,True,0.042590,1.348462,0.014841,0.452055,0.082192,0.547945,4,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,joffrey,siege_attack,player_party,Joffrey Baratheon's Party,2,4,Westerling Hedgeknight,westerling_hedgeknight,confirmed_id,Infantry,frontline_infantry,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,7,3,20,0,4,0,2.857143,,,532,1,True,0.037594,0.107411,0,0,False,,,,0.428571,0.000000,0.571429,0,0,0,1,insufficient_evidence,4,13
realm_of_thrones,1.4.x,white_harbor,field,player_party,Wyman Manderly's Party,5,1,White Harbor Knight Commander,whiteharbor_knight_commander,confirmed_id,Cavalry,melee_cavalry,1,not_published_current_methodology_keeps_offense_and_defense_independent,8,289,226,285,8,55,0,0.986159,0.610169,1.403614,1577,8,True,0.180723,0.178222,1686,8,True,0.171412,1.054321,0.009311,0.782007,0.027682,0.217993,7,1,0,0,reliable,0,0
