screenshot_id,image_file,image_sha256,captured_at,battle_id,screen_status,included_in_primary,game_version,game_track
screen_b01_20260811T1432240300,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_32_24.png,a89339f55ab3d4f51475c8142578d49a780de2db3e1c26468a70d885fcba9999,2026-08-11T14:32:24-03:00,battle_20260811_143224_ravens_field,final_result,True,1.4.x,realm_of_thrones
screen_b01_duplicate_20260811T1432240300,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_32_24 (1).png,ef77f18edbee964f23004f0badd080fa60c5bd1f16ec1a53073512a252c87cc4,2026-08-11T14:32:24-03:00,battle_20260811_143224_ravens_field,duplicate_scoreboard_same_battle,False,1.4.x,realm_of_thrones
screen_b02_20260811T1452040300,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_52_04.png,1141d8c88d59858352d7f3bd831aefbca2e9a52d0c4e616228be2d914b164ad2,2026-08-11T14:52:04-03:00,battle_20260811_145204_ravens_field,final_result,True,1.4.x,realm_of_thrones
screen_b03_20260811T1510070300,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_10_07.png,87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5,2026-08-11T15:10:07-03:00,battle_20260811_151007_ravens_field,final_result,True,1.4.x,realm_of_thrones
screen_b04_20260811T1516220300,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_16_22.png,56087addbb874f8fd4f4b298ff230d93665fcb08d3dfff3defb48fc571a838f8,2026-08-11T15:16:22-03:00,battle_20260811_151622_ravens_field,final_result,True,1.4.x,realm_of_thrones
