battle_context,battle_id,battle_state,classification,duplicate_of,retained_source_file,source_file,source_sha256,visibility_scope_complete
field,battle_j11,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 04_09_2026 23_43_40.png,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 04_09_2026 23_43_40.png,b6f57c9f9f1e64642aa4d640bc0cc6cc6612f253a075d151fb2f6b28e3010e26,False
field,battle_j12,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 11_14_52.png,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 11_14_52.png,87d377be067b7d3109e277354e81ea090546549e16c7e900860cda595dfc43de,False
field,battle_j13,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 11_27_00.png,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 11_27_00.png,382667e1196cefd91fe0d4bddf245ba565e2cf05e3e4e5a3c2ed871001d0dfc9,False
siege_attack,battle_j15,active_last_readable,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 12_15_09.png,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 12_15_09.png,9ed0d453646235842b6344166b0959ae6438f0a057fb21b0073ccc5b8c6046e8,False
field,battle_j01,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 20984 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_09_2026 16_21_20.png,Mount and Blade II Bannerlord - Singleplayer PID_ 20984 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_09_2026 16_21_20.png,3c488fe1c82af4370851b889b41764ba7f67a6844e2a1686d1f4720ab2ca0c11,False
siege_defense,battle_j02,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 20984 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_09_2026 17_05_00.png,Mount and Blade II Bannerlord - Singleplayer PID_ 20984 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 02_09_2026 17_05_00.png,5aacc3bf7759908636db8a757f6d060d689efd52329f324c05bfd8c8f372e0da,False
,,,excluded_non_evidence,,,Mount and Blade II Bannerlord - Singleplayer PID_ 20984 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_09_2026 16_43_02.png,1e762061894365d3ed4e7caffccbc7bd67b0fe3f55d3f1f709e97eb10e05521a,
field,battle_j17,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 17_47_59.png,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 17_47_59.png,8f331131c5300289733437588205106b6eada684c578f1cf56eaca67ce6567e1,False
field,battle_j18,final,visual_duplicate,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 17_55_28.png,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 17_55_28.png,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 17_55_26.png,62cc72b4201606240210dee55e1fde63caa54fecd37911481e87ac5f330df4ff,
field,battle_j18,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 17_55_28.png,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 17_55_28.png,db4326524e58247fbb6d7bcc8a125c7db5c27399bf72a4312278778f653e1624,False
