cohort_view,battle_id,captured_at,context,result_scope,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,retention_rate,player_side_total_kills,player_side_total_deployed,source_image_sha256
historical_mixed_campaign,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,field,completed,27,26,78,0,1,0,2.888889,0.962963,617,578,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194
historical_mixed_campaign,rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,field,completed,32,3,100,7,22,0,3.125000,0.093750,773,250,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9
historical_mixed_campaign,rot_2026_09_13_234219_egon_black_rat_victory_field,2026-09-13T23:42:19-03:00,field,completed,32,32,97,0,0,0,3.031250,1.000000,524,309,c28472ee69451208c9e83ce49ba73eb8282d5646b1a2adddb7c64879c9d9b587
historical_mixed_campaign,rot_2026_09_13_234719_egon_grey_worm_victory_field,2026-09-13T23:47:19-03:00,field,completed,36,35,35,0,1,0,0.972222,0.972222,215,275,ac5c8411208dd78c4d40e42c11070197f331a810b38870d7ce0a9d9d586b0614
historical_mixed_campaign,rot_2026_09_14_205747_egon_bortu_victory_field,2026-09-14T20:57:47-03:00,field,completed,68,68,388,0,0,0,5.705882,1.000000,919,548,019c57686a412e9260cd907130e5448f5962af6e60c586c4ceb5e7113ad871f3|a2d34662d79de241e4af9124dd70e0b10b3fd9ca77e9345fc8771480d50f36d6
new_follow_up,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,field,completed,85,85,90,0,0,0,1.058824,1.000000,96,121,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea
new_follow_up,rot_2026_09_16_185905_egon_deserters_victory_field,2026-09-16T18:59:05-03:00,field,completed,88,88,48,0,0,0,0.545455,1.000000,64,170,ecb136913cbfc052f49b7119798447326353e8cb95746e0a92e52ff4c222c433
