track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,1,1,Frey Assassin [T6],frey_assassin,confirmed_id,Ranged,ranged,high,1,not_published_current_methodology_keeps_offense_and_defense_independent,6,534,291,1549,49,194,0,2.900749,2.291589,3.625235,2621,6,True,0.590996,1.714331,1192,6,True,0.447987,1.319227,0.143009,0.544944,0.091760,0.455056,3,2,1,reliable,0,0
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,2,2,Celtigar Banneret [T6],celtigar_banneret,confirmed_id,Infantry,frontline_infantry,high,4,not_published_current_methodology_keeps_offense_and_defense_independent,6,225,101,397,19,105,0,1.764444,1.471616,2.058036,2621,6,True,0.151469,0.267258,1192,6,True,0.188758,0.802449,-0.037289,0.448889,0.084444,0.551111,3,2,1,reliable,0,0
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,3,3,Velaryon Sea Guard [T6],velaryon_sea_guard,confirmed_id,Infantry,frontline_infantry,high,4,not_published_current_methodology_keeps_offense_and_defense_independent,6,186,62,300,18,106,1,1.612903,1.178378,2.054054,2621,6,True,0.114460,0.184613,1192,6,True,0.156040,0.733529,-0.041580,0.333333,0.096774,0.666667,3,2,1,reliable,0,0
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,4,5,Mountain's Man [T6],mountains_man,confirmed_id,Infantry,frontline_infantry,low,4,not_published_current_methodology_keeps_offense_and_defense_independent,5,24,7,35,3,14,1,1.458333,0.608696,2.240000,2162,5,True,0.016189,0.023609,997,5,True,0.024072,0.672506,-0.007884,0.291667,0.125000,0.708333,2,2,1,reliable,0,0
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,5,4,Queen's Man [T6],dragonstone_steel_curtain,confirmed_id,Cavalry,melee_cavalry,high,1,not_published_current_methodology_keeps_offense_and_defense_independent,6,116,47,151,9,60,1,1.301724,0.947826,1.644068,2621,6,True,0.057612,0.074994,1192,6,True,0.097315,0.592009,-0.039704,0.405172,0.077586,0.594828,3,2,1,reliable,0,0
realm_of_thrones,1.4.x,frey_dedicated,field,player_party,Walder Frey's Party,6,6,Baratheon Hammerknight [T6],baratheon_pikeknight,confirmed_id,Infantry,frontline_infantry,medium,4,not_published_current_methodology_keeps_offense_and_defense_independent,6,33,13,40,1,19,3,1.212121,0.861111,1.583333,2621,6,True,0.015261,0.018499,1192,6,True,0.027685,0.551258,-0.012423,0.393939,0.030303,0.606061,3,2,1,reliable,0,0
