observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,troop_name,tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed
rot_2026_09_13_050754_frey_victory_field__party_01__row_006,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown,field,completed,Walder Frey's Party,player_party,Blackwood Longbowman,5,Blackwood Longbowman [T5],blackwood_longbowman,confirmed_id,Ranged,ranged,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,9,3,0,4,0,4
rot_2026_09_13_050754_frey_victory_field__party_01__row_007,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown,field,completed,Walder Frey's Party,player_party,Baratheon Hammerknight,6,Baratheon Hammerknight [T6],baratheon_pikeknight,confirmed_id,Infantry,frontline_infantry,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,7,0,1,5,0,6
rot_2026_09_13_050754_frey_victory_field__party_01__row_009,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown,field,completed,Walder Frey's Party,player_party,Blackwood Archer,4,Blackwood Archer [T4],blackwood_archer,confirmed_id,Ranged,ranged,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,1,1,0,2,0,2
rot_2026_09_13_050754_frey_victory_field__party_01__row_010,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown,field,completed,Walder Frey's Party,player_party,Mountain's Man,6,Mountain's Man [T6],mountains_man,confirmed_id,Infantry,frontline_infantry,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,1,0,1,4,0,5
rot_2026_09_13_050754_frey_victory_field__party_01__row_013,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown,field,completed,Walder Frey's Party,player_party,Bracken House Guard,5,Bracken House Guard [T5],bracken_houseguard,confirmed_id,Infantry,frontline_infantry,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,0,1,0,1,0,1
rot_2026_09_13_050754_frey_victory_field__party_01__row_014,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown,field,completed,Walder Frey's Party,player_party,Velaryon Renegade,5,Velaryon Renegade [T5],velaryon_renegade,confirmed_id,Infantry,frontline_infantry,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,0,0,1,0,0,1
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_001,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Qartheen Longbowman,5,Qartheen Longbowman [T5],qartheen_longbowman,confirmed_id,Ranged,ranged,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,43,101,0,3,9,0,55
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_002,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Qartheen Elite Hoplite,5,Qartheen Elite Hoplite [T5],qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,26,44,0,0,5,0,31
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_003,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Qartheen Enthroned Guardian,6,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,14,36,0,1,5,0,20
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_005,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Qartheen Master Cameleer,5,Qartheen Master Cameleer [T5],qartheen_master_cameleer,confirmed_id,Cavalry,melee_cavalry,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,8,8,0,1,0,0,9
