track,game_version,cohort,context,participant_scope,result_scope,efficiency_rank,impact_rank,display_name,troop_name,tier,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,reliable_role_population,role_adjusted_rank_status,independent_battles,complete_numeric_battles,ordinary_occurrences,complete_numeric_occurrences,deployed,survivors,kills,deaths,wounded,routed,known_deployed_from_complete_occurrences,known_kills,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,final_victory_battles,outside_stage_success_battles,active_censored_battles,numeric_display_gate_passed,identity_gate_passed,reliability_status,more_battles_needed,more_deployed_needed,missing_numeric_fields
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Dothraki Nomad [T1],Dothraki Nomad,1,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,15,5,4,0,10,0,15,4,,,,919,1,true,,,548,1,true,,,,,,,1,0,0,false,false,insufficient_battles,4,5,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Dothraki Savage [T4],Dothraki Savage,4,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,8,4,11,1,3,0,8,11,,,,524,1,true,,,309,1,true,,,,,,,1,0,0,false,false,insufficient_battles,4,12,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Ghiscari Lockstep Legionnaire [T6],Ghiscari Lockstep Legionnaire,6,ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,4,4,4,4,8,3,19,1,4,0,8,19,,,,2833,4,true,,,1685,4,true,,,,,,,4,0,0,false,true,insufficient_battles,1,12,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Ghiscari Soldier [T4],Ghiscari Soldier,4,ghiscari_soldier,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,17,15,19,1,1,0,17,19,,,,919,1,true,,,548,1,true,,,,,,,1,0,0,false,true,insufficient_battles,4,3,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Lengii Mounted Slayer [T4],Lengii Mounted Slayer,4,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,2,2,2,0,0,0,2,2,,,,919,1,true,,,548,1,true,,,,,,,1,0,0,false,false,insufficient_battles,4,18,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Archer [T3],Qartheen Archer,3,qartheen_archer,confirmed_id,Ranged,ranged,exploratory_incomplete_numeric,2,not_published_current_methodology_keeps_offense_and_defense_independent,2,1,2,1,,,,,,,1,0,,,,1134,2,true,,,823,2,true,,,,,,,2,0,0,false,true,insufficient_missing_numeric_values,3,,deaths|kills|routed|survivors|upgrade_ready|wounded
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Bowman [T2],Qartheen Bowman,2,qartheen_bowman,confirmed_id,Ranged,ranged,exploratory,2,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,2,0,1,1,1,0,2,1,,,,215,1,true,,,275,1,true,,,,,,,1,0,0,false,true,insufficient_battles,4,18,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Elite Hoplite [T5],Qartheen Elite Hoplite,5,qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,low,1,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,2,2,12,12,5,0,0,0,12,5,,,,832,2,true,,,853,2,true,,,,,,,2,0,0,false,true,insufficient_battles,3,8,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Hoplite [T4],Qartheen Hoplite,4,qartheen_hoplite,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,12,8,5,2,2,0,12,5,,,,524,1,true,,,309,1,true,,,,,,,1,0,0,false,true,insufficient_battles,4,8,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Pureborn Champion [T5],Qartheen Pureborn Champion,5,qartheen_champion,confirmed_id,Ranged,ranged,low,2,not_published_current_methodology_keeps_offense_and_defense_independent,4,4,4,4,11,11,23,0,0,0,11,23,,,,2275,4,true,,,1710,4,true,,,,,,,4,0,0,false,true,insufficient_battles,1,9,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Pureborn Fighter [T3],Qartheen Pureborn Fighter,3,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,2,2,6,5,4,0,1,0,6,4,,,,1443,2,true,,,857,2,true,,,,,,,2,0,0,false,true,insufficient_battles,3,14,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Pureborn Warrior [T4],Qartheen Pureborn Warrior,4,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,low,1,not_published_current_methodology_keeps_offense_and_defense_independent,3,3,3,3,15,8,9,1,6,0,15,9,,,,2216,3,true,,,1107,3,true,,,,,,,3,0,0,false,true,insufficient_battles,2,5,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qartheen Pureborn Youth [T2],Qartheen Pureborn Youth,2,qartheen_noble_recruit,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,1,0,2,0,1,0,1,2,,,,919,1,true,,,548,1,true,,,,,,,1,0,0,false,true,insufficient_battles,4,19,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Qarthene Veteran Archer [T4],Qarthene Veteran Archer,4,qartheen_elite_archer,confirmed_id,Ranged,ranged,low,2,not_published_current_methodology_keeps_offense_and_defense_independent,3,3,3,3,27,20,38,1,6,0,27,38,,,,1512,3,true,,,834,3,true,,,,,,,3,0,0,false,true,insufficient_battles,2,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Ghiscari Lockstep Legionnaire [T6],Ghiscari Lockstep Legionnaire,6,ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,1,0,3,0,1,0,1,3,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,19,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Qartheen Elite Hoplite [T5],Qartheen Elite Hoplite,5,qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,31,26,44,0,5,0,31,44,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Qartheen Enthroned Guardian [T6],Qartheen Enthroned Guardian,6,enthroned_guardian,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,20,14,36,1,5,0,20,36,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Qartheen Hoplite [T4],Qartheen Hoplite,4,qartheen_hoplite,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,3,2,3,0,1,0,3,3,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,17,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Qartheen Longbowman [T5],Qartheen Longbowman,5,qartheen_longbowman,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,55,43,101,3,9,0,55,101,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Qartheen Master Cameleer [T5],Qartheen Master Cameleer,5,qartheen_master_cameleer,confirmed_id,Cavalry,melee_cavalry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,9,8,8,1,0,0,9,8,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,11,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Qartheen Pureborn Champion [T5],Qartheen Pureborn Champion,5,qartheen_champion,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,2,1,4,1,0,0,2,4,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,18,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,active_censored,,,Qarthene Veteran Archer [T4],Qarthene Veteran Archer,4,qartheen_elite_archer,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,1,1,4,0,0,0,1,4,,,,632,1,true,,,563,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,19,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,1,1,Qartheen Enthroned Guardian [T6],Qartheen Enthroned Guardian,6,enthroned_guardian,confirmed_id,Ranged,ranged,high,2,not_published_current_methodology_keeps_offense_and_defense_independent,6,6,6,6,212,210,567,0,2,0,212,567,2.674528,1.714286,3.468619,2266,6,true,0.250221,0.669222,2719,6,true,0.077970,3.209198,0.172251,0.990566,0.000000,0.009434,3,3,0,true,true,reliable,0,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,2,2,Qartheen Longbowman [T5],Qartheen Longbowman,5,qartheen_longbowman,confirmed_id,Ranged,ranged,high,2,not_published_current_methodology_keeps_offense_and_defense_independent,6,6,6,6,322,311,365,4,7,0,322,365,1.133540,0.715405,1.728188,2266,6,true,0.161077,0.182587,2719,6,true,0.118426,1.360148,0.042651,0.965839,0.012422,0.034161,3,3,0,true,true,reliable,0,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,3,4,Dothraki Khal's Guard [T6],Dothraki Khal's Guard,6,,unresolved_provisional_label,,,high,0,not_published_current_methodology_keeps_offense_and_defense_independent,5,5,5,5,190,189,172,0,1,0,190,172,0.905263,0.472477,1.537313,1618,5,true,0.106304,0.096233,2136,5,true,0.088951,1.195082,0.017353,0.994737,0.000000,0.005263,3,2,0,true,false,reliable_provisional_identity,0,0,
